Exchange,Base,Target,Last,Volume,Trust Score,USD Price
CoinEx,TIA,BTC,7.0668e-06,8569.94106524,green,85954
CoinEx,PYTH,BTC,8.396e-07,86121.00096866,green,85954
CoinEx,GRT,BTC,5.703e-07,86474.86897086,green,86036
XT.COM,XAUT,BTC,0.04717,0.82055,green,86056
CoinEx,ONT,BTC,8.306e-07,85581.21714717,green,85926
Binance,HEI,BTC,2.41e-06,25986.0,green,85952
P2B,BTCV,BTC,6.28e-06,9537.6014,green,85971
CoinEx,ETHW,BTC,6.6667e-06,10172.95501998,green,85954
Bitfinex,DSH,BTC,0.00065113,228.87958443,green,86169
CoinEx,XPR,BTC,4.4258e-08,879977.97,green,86127
CoinEx,XNO,BTC,1.007e-05,8635.48081482,green,86127
KuCoin,AVA,BTC,3.44e-06,0.0,green,86042
CoinEx,DERO,BTC,5.951e-06,10449.47745239,green,85874
CoinEx,SKY,BTC,5.011e-07,86825.47724252,green,85866
BitoPro,ETH,BTC,0.032526,0.8398652,green,86042
CoinEx,WLD,BTC,7.025e-06,8470.15321302,green,85954
CoinEx,ONDO,BTC,5.4835e-06,8847.90873664,green,85954
CoinEx,GRS,BTC,1.7985e-06,26124.32047022,green,86036
CoinEx,RUNE,BTC,7.2555e-06,8628.82260268,green,86127
CoinEx,GNO,BTC,0.00149946,17.05153854,green,85954
CoinEx,STRK,BTC,1.5985e-06,26667.48920103,green,85954
Bitfinex,BTC,XAUT,21.224,0.02799991,green,86195
CoinEx,DCR,BTC,0.00027128,180.79905847,green,85874
CoinEx,SGB,BTC,3.2482e-08,908380.64,green,86127
CoinEx,SEI,BTC,1.5391e-06,22435.26815999,green,85954
CoinEx,IRON,BTC,2.5286e-06,10039.29125289,green,85954
CoinEx,BNC,BTC,1.0016e-06,83359.71389683,green,85954
CoinEx,ENJ,BTC,3.796e-07,89308.18996202,green,85874
CoinEx,HNT,BTC,2.25084e-05,1849.64650552,green,86036
CoinEx,AAVE,BTC,0.00196649,20.97798278,green,85874
CoinEx,CHZ,BTC,3.214e-07,88384.13659973,green,85874
CoinEx,RENDER,BTC,1.969e-05,1837.0198701,green,85881
CoinEx,FLR,BTC,1.51029e-07,177144.39,green,85954
CoinEx,ASTER,BTC,1.29259e-05,2558.58232104,green,85866
CoinEx,BELLS,BTC,9.961e-07,86759.16555835,green,85881
CoinEx,FIL,BTC,1.86174e-05,1820.82371529,green,85874
CoinEx,VTC,BTC,7.252e-07,87730.17611678,green,86036
CoinEx,VET,BTC,1.49093e-07,173397.48,green,85874
CoinEx,KAVA,BTC,1.3184e-06,17452.55201124,green,86036
CoinEx,OP,BTC,3.5276e-06,8699.78493483,green,85954
CoinEx,ZANO,BTC,0.00014883,189.95613887,green,85954
CoinEx,NEO,BTC,4.774e-05,1054.27548967,green,85926
CoinEx,ARK,BTC,3.1149e-06,9308.85426489,green,86127
CoinEx,CAKE,BTC,2.71051e-05,1186.98439479,green,86036
CoinEx,HBAR,BTC,1.685e-06,17274.93931252,green,85874
CoinEx,JUP,BTC,2.7052e-06,8551.54221281,green,85954
CoinEx,OCTA,BTC,2.6662e-06,8808.85425024,green,85954
CoinEx,MANTA,BTC,1.3589e-06,19571.19678666,green,85954
CoinEx,KMD,BTC,4.698e-07,89410.96195137,green,85874
CoinEx,AXS,BTC,1.261e-05,1738.25240322,green,86127
CoinEx,PENDLE,BTC,2.5715e-05,862.64708678,green,85954
CoinEx,MOB,BTC,2.1872e-06,16641.98119304,green,86127
Nonkyc.io,PART,BTC,2.69e-06,5915.3393,green,85974
CoinEx,FIRO,BTC,3.55133e-05,1584.39405325,green,86036
CoinEx,HAC,BTC,3.6925e-06,8821.03946042,green,85881
CoinEx,AIOZ,BTC,1.357e-06,17954.30135833,green,85954
CoinEx,ORAI,BTC,1.42961e-05,1836.41588829,green,85954
CoinEx,ALPH,BTC,1.316e-06,17462.84856406,green,85954
CoinEx,FACT,BTC,2.02032e-05,1819.43657663,green,85954
CoinEx,KUB,BTC,1.57037e-05,1823.61113255,green,85954
CoinEx,ELA,BTC,1.47498e-05,1803.01510767,green,85874
Crypto.com Exchange,SUI,BTC,1.578e-05,62.1,green,85986
Nonkyc.io,ERG,BTC,6.9e-06,152.6808,green,86009
FameEX,BTC,USDT,85944.8,31446.68983,yellow,85898
Websea,BTC,USDT,86041.8,0.0,yellow,85995
Poloniex,BTC,USDT,86032.32,3576.768992,yellow,85972
ALP.COM,BTC,USDT,86047.5,2012.7309954,yellow,86001
BTCC,BTC,USDC,85973.92,2585.901658,yellow,85948
Binance,WBTC,BTC,0.9986,343.04806,yellow,86004
TokoCrypto,BTC,USDT,85982.78,14.828145409721575,yellow,85936
Bullish,WBTC,BTC,0.99868979,53.24048564,yellow,85948
WOO X,BTC,USDT,86046.01,5.041432,yellow,86000
Bilaxy,BTC,USDT,86039.91,284.56758,yellow,85978
Niza.io,BTC,EUR,74571.2,431.66808653,yellow,86002
Bitget,BTC,USDC,85959.31,83.77625,yellow,85934
Pionex,WBTC,BTC,0.9986,4.6811,yellow,85939
Coinzoom,BTC,USD,86015.3,0.513255,yellow,86015
Coinzoom,BTC,USDT,86055.28,0.2248,yellow,86029
Bybit,WBTC,BTC,0.9989,41.16446,yellow,85903
Kraken,XBT,USDT,86088.8,87.36038264,yellow,86039
TokoCrypto,BTC,USDC,86026.01,0.050591321149266365,yellow,86000
Fastex,BTC,USDT,86024.0,324.909661,yellow,85978
Azbit,ETH,BTC,0.03256,4903.327744,yellow,85974
OKX,BTC,EUR,74689.9,7.53647953,yellow,86161
BloFin,BTC,USDC,85981.27,18.8595,yellow,85955
Delta Exchange,BTC,USDT,86127.0,1.34519,yellow,86081
KoinBX,BTC,USDT,85970.99,12.75299188,yellow,85925
HashKey Exchange,BTC,USDT,86064.44,28.78359,yellow,85978
Ecxx,BTC,USDT,85946.66,38.10308041966971,yellow,85900
Bitget,ETH,BTC,0.03256,784.3673,yellow,85930
Bitbegin,BTC,USDT,85966.74,31.4379599999995,yellow,85920
DigiFinex,WBTC,BTC,0.99824,6.6397,yellow,85904
Kraken,WBTC,XBT,0.9988,8.73046501,yellow,85985
Arkham,BTC,USDT,85989.1,8.58403,yellow,85943
DigiFinex,ETH,BTC,0.03256,2175.0813,yellow,85904
Bullish,ETH,BTC,0.03256859,536.39355642,yellow,85948
OKX,BTC,USDC,86001.2,7.82356762,yellow,85961
Pionex,BNB,BTC,0.009809,289.58,yellow,85939
FMFW.io,BTC,USDC,86129.082,1.84359,yellow,86103
Crypto.com Exchange,ETH,BTC,0.032547,705.4684,yellow,85968
Icrypex,BTC,USDT,85983.2,75.36541804,yellow,85937
LeveX,BTC,USDC,86012.8,12.38054,yellow,85987
Koinpark,BTC,USDT,85970.99,31.65106179,yellow,85925
Coinmetro,BTC,USDT,86033.25546379048,8.542075937134001,yellow,85990
Gate,GTBTC,BTC,1.00155,0.147,yellow,85957
Gate,BTC,GUSD,86003.2,10.893257,yellow,86068
TokoCrypto,BNB,BTC,0.009809,4.898905087164849,yellow,85930
Kraken,ETH,XBT,0.03254,745.42838298,yellow,85985
Gate US,BTC,USDT,86082.8,13.1821,yellow,86036
Kinesis Money,BTC,C1USD,85884.3314192,0.06762598,yellow,86101
Kinesis Money,BTC,KAU,661.79952,0.02433679,yellow,86101
Coinmetro,BTC,USDC,86015.6131992757,11.571402197132002,yellow,85990
Coinmetro,BTC,EUR,74546.6231460777,5.462220107132001,yellow,85995
TokoCrypto,SOL,BTC,0.0015007,23.456806823482374,yellow,86008
Ecxx,ETH,BTC,0.03256,862.3758945915233,yellow,85978
Kraken,SOL,XBT,0.001502,8082.30774195,yellow,85985
Bitstamp by Robinhood,BTC,USDT,85981.0,8.50686157,yellow,85927
FMFW.io,ETH,BTC,0.032567,622.3253,yellow,86103
Kraken,XBT,CAD,121572.2,20.93290033,yellow,86179
Giottus,BTC,USDT,86157.0,0.02051438,yellow,86111
Kraken,XRP,XBT,2.382e-05,936687.99920216,yellow,85985
DigiFinex,XRP,BTC,2.3861e-05,1182315.0,yellow,85940
Bitrue,ETH,BTC,0.032566,592.88565,yellow,85904
Pionex,XRP,BTC,2.385e-05,453016.0,yellow,85939
Crypto.com Exchange,BTC,EUR,74502.72,12.7544,yellow,85945
Bitfinex,ETH,BTC,0.032553,223.65894091,yellow,86169
WhiteBIT,BTC,TRY,3655338.0,6.514771,yellow,86117
FMFW.io,SOL,BTC,0.00150275,7853.469,yellow,85933
Coinmetro,BTC,USD,86008.15932428792,2.6911445571319996,yellow,86008
P2B,BNB,BTC,0.009787,117.986,yellow,85964
Binance,PAXG,BTC,0.04734,143.4295,yellow,85894
Bitstamp by Robinhood,BTC,USDC,86099.0,9.08978875,yellow,86071
TokoCrypto,XRP,BTC,2.382e-05,631.9928631402183,yellow,86035
Bitget,XRP,BTC,2.384e-05,58261.8259,yellow,85930
Bullish,SOL,BTC,0.00150233,1576.4644597,yellow,85929
Hibt,ETH,BTC,0.03255,73.39612499999988,yellow,86059
Gemini,BTC,SGD,112290.09,9.1233748,yellow,86035
CEX.IO,BTC,EUR,74541.2,1.08652825,yellow,85961
Kraken,XBT,AUD,133402.2,13.55488555,yellow,86067
Bitget,BTC,RLUSD,86004.84,6.817227,yellow,85984
Changelly PRO,CHZ,BTC,3.214e-07,255999303.0,yellow,85933
PointPay,ETH,BTC,0.03256,1688.28155675,yellow,85925
KuCoin,WBTC,BTC,0.9995,0.0,yellow,85978
YoBit,ZEC,BTC,0.00628134,84730.89073546,yellow,85941
CEX.IO,ETH,BTC,0.03256,0.008,yellow,85949
EarnBIT,BTC,TUSD,86120.17,1.22639555,yellow,86101
FMFW.io,BNB,BTC,0.0098028,121.51,yellow,85933
Dex-Trade,ETH,BTC,0.03256,684.56,yellow,86011
HitBTC,CHZ,BTC,3.214e-07,255516608.0,yellow,85933
YoBit,DASH,BTC,0.00065012,525313.40127969,yellow,85981
CEX.IO,BTC,USDC,85940.3,0.07155601,yellow,85923
CoinUp.io,BTC,USDR,86077.57,0.95422,yellow,85922
Bybit,BTC,USDE,86151.0,0.163446,yellow,85996
MEXC,ADA,BTC,4.72e-06,3172237.233,yellow,85934
EarnBIT,BTC,USDQ,86057.81,0.53438437,yellow,86101
Pionex,SOL,BTC,0.00150015,421.77,yellow,86027
CEX.IO,WBTC,BTC,0.9979,0.00022008,yellow,85847
Crypto.com Exchange,SOL,BTC,0.0015023,1358.779,yellow,85977
Bitfinex,WBT,BTC,0.9958,0.82166096,yellow,85970
Binance,TRX,BTC,3.22e-06,5294467.0,yellow,85875
Pionex,LINK,BTC,0.0001447,36840.42,yellow,85939
Bitstamp by Robinhood,BTC,RLUSD,85996.0,0.85326378,yellow,85976
Bitfinex,BTC,EUR,74603.0,6.2111588,yellow,86060
Bybit,BTC,EUR,74661.4,3.426326,yellow,86128
Crypto.com Exchange,XRP,BTC,2.3896e-05,60307.4,yellow,85978
FMFW.io,LTC,BTC,0.0009682,396.021,yellow,85933
VALR,BTC,USDT,85951.0,1.0673715,yellow,85905
Gemini,BTC,GBP,65656.94,3.17145124,yellow,85986
CEX.IO,XRP,BTC,2.384e-05,10.0971,yellow,85949
MEXC,SOL,BTC,0.0014997,307.79,yellow,85921
CoinCatch,ETH,BTC,0.03258,158.003,yellow,85878
Cube,BTC,USDC,85911.3,0.11444,yellow,85886
Vindax,GCZ,BTC,7.4e-07,986677.0,yellow,85957
Fastex,BTC,USDC,86085.0,18.2883132,yellow,86059
Bitfinex,SOL,BTC,0.001502,896.88362758,yellow,86169
CEX.IO,BTC,USDT,85973.6,0.89138192,yellow,85982
ProBit Global,BTC,USDT,85944.8,0.69737466,yellow,85898
FMFW.io,ZEC,BTC,0.00624,6.272,yellow,86075
WhiteBIT,DOGE,BTC,1.6795e-06,1675712.0,yellow,85999
CoinJar Exchange,BTC,AUD,133400.0,6.18299625,yellow,86065
CoinEx,WBTC,BTC,1.00245,0.39927649,yellow,86127
TokoCrypto,AVAX,BTC,0.0001548,5.194573643410853,yellow,86008
Kraken,LINK,XBT,0.00014486,10678.68192591,yellow,85985
QMall,BCH,BTC,0.006322,52.432255,yellow,86056
OKX,BTC,AED,316272.0,1.083533427,yellow,86182
Crypto.com Exchange,ADA,BTC,4.723e-06,211647.4,yellow,85978
P2B,LTC,BTC,0.000968,312.734,yellow,85971
FMFW.io,AVAX,BTC,0.0001551,4343.719,yellow,86056
Azbit,LTC,BTC,0.000968,1153.7009,yellow,86052
MEXC,TRX,BTC,3.216e-06,1770292.089,yellow,85934
TokoCrypto,LINK,BTC,0.0001445,263.901107266436,yellow,86008
Bitget,LTC,BTC,0.0009687,236.72,yellow,85930
Binance,FIL,BTC,1.863e-05,53219.14,yellow,85973
Purcow,BTC,USDT,86099.71848485,6.255012,yellow,85978
Bitfinex,XRP,BTC,2.38e-05,35365.47829743,yellow,86169
Bitfinex,LTC,BTC,0.00096839,467.67541511,yellow,86169
Gemini,BTC,USDT,86081.79,0.46917229,yellow,86013
Bitrue,LTC,BTC,0.0009685,2748.555,yellow,85936
Binance,DOGE,BTC,1.69e-06,7576738.0,yellow,86004
TokoCrypto,LTC,BTC,0.000968,2.0950929752066116,yellow,86008
Binance,HBAR,BTC,1.68e-06,9287396.0,yellow,86004
CoinJar Exchange,BTC,GBP,66090.0,0.94704866,yellow,86529
TokoCrypto,BCH,BTC,0.006324,0.030156546489563566,yellow,86008
Kraken,LTC,XBT,0.00097,1171.16067775,yellow,85985
CEX.IO,BCH,BTC,0.00632,0.03708,yellow,85949
Bitget,AAVE,BTC,0.001991,993.4142,yellow,85930
Pionex,UNI,BTC,7.168e-05,36190.28,yellow,85939
WhiteBIT,BCH,BTC,0.006335,792.893,yellow,85999
FMFW.io,BCH,BTC,0.006334,0.102,yellow,86075
Bitlo,BTC,USDT,86082.0,0.87253,yellow,86035
FMFW.io,NEAR,BTC,2.1352e-05,31098.8,yellow,86056
BitStorage,SOL,BTC,0.0015026,1465.6,yellow,86005
Crypto.com Exchange,DOGE,BTC,1.6792e-06,198377.0,yellow,85978
Binance,XLM,BTC,2.82e-06,2179161.0,yellow,85973
Pionex,DOGE,BTC,1.69e-06,1503118.06,yellow,85939
FMFW.io,VET,BTC,1.491e-07,2948730.0,yellow,86056
Bitget,LINK,BTC,0.000145,3726.6469,yellow,85930
Hata,BTC,MYR,360000.0,0.12882999999999997,yellow,86985
FMFW.io,UNI,BTC,7.17e-05,5807.48,yellow,86075
BitMart,BTC,USDC,86086.06,2.904828,yellow,86060
Bitrue,LINK,BTC,0.00014444,2197.05,yellow,86043
Kraken,TRX,XBT,3.2173e-06,85210.59147311,yellow,85985
Bitget,AVAX,BTC,0.000155,1028.87,yellow,85930
MEXC,XLM,BTC,2.824e-06,1111791.934,yellow,85934
Kraken,BCH,XBT,0.006315,92.25663577,yellow,85985
Coinbase Exchange,UNI,BTC,7.22e-05,27018.567993,yellow,86069
MEXC,DOT,BTC,2.62e-05,131947.9145,yellow,85934
QMall,BNB,BTC,0.009808,154.9875873,yellow,85973
Kraken,XBT,EURC,74521.4,0.47720394,yellow,85801
TokoCrypto,FIL,BTC,1.86e-05,3004.2967741935486,yellow,86008
TokoCrypto,ADA,BTC,4.72e-06,6743.26906779661,yellow,86008
WhiteBIT,JST,BTC,4.373e-07,3861346.0,yellow,85829
Kraken,AAVE,XBT,0.001995,382.24128456,yellow,85985
Binance,BTC,TUSD,86298.0,1.55876,yellow,85842
MEXC,ETC,BTC,0.0001584,25616.11,yellow,85934
Tothemoon,SNC,BTC,3.201e-07,2556070.0538198636,yellow,85922
WhiteBIT,ZK,BTC,4.476e-07,437834.0,yellow,85829
Kraken,XBT,JPY,13479500.0,0.2233292,yellow,86007
FMFW.io,AAVE,BTC,0.0019859,437.341,yellow,86056
FMFW.io,XLM,BTC,2.821e-06,42016.8,yellow,86056
WhiteBIT,CRV,BTC,4.496e-06,233854.3,yellow,85829
TokoCrypto,NEAR,BTC,2.13e-05,21.676056338028168,yellow,86008
Gemini,SOL,BTC,0.001496,298.887312,yellow,85994
FMFW.io,CAKE,BTC,2.711e-05,7696.249,yellow,86056
TokoCrypto,DOGE,BTC,1.68e-06,4407.880952380952,yellow,86008
WhiteBIT,NEAR,BTC,2.137e-05,122094.75,yellow,86500
FMFW.io,HBAR,BTC,1.685e-06,227039.0,yellow,86075
Kanga,BTC,USDC,85996.56,0.0,yellow,85907
DigiFinex,BCH,BTC,0.006314,237.825,yellow,85904
Bitfinex,TRX,BTC,3.21e-06,146058.47210145,yellow,86169
BitMart,BCH,BTC,0.00631899,481.224,yellow,86053
Binance,STX,BTC,3.56e-06,495862.1,yellow,86014
XT.COM,BTC,DAI,86043.2,0.73821,yellow,86035
Kraken,DOT,XBT,2.618e-05,27718.10236459,yellow,85985
CEX.IO,LTC,BTC,0.00096912,0.33858,yellow,85949
WhiteBIT,ENA,BTC,2.79e-06,968175.95,yellow,85999
RUJI Trade,WBTC,BTC,0.996018085540267,8.04689124,yellow,85946
MEXC,ATOM,BTC,2.834e-05,42684.37,yellow,85887
WhiteBIT,TNSR,BTC,1.843e-06,5852450.5,yellow,85999
CEX.IO,NEAR,BTC,2.137e-05,9.1644,yellow,85949
Bitfinex,ADA,BTC,4.74e-06,78889.07107858,yellow,86169
WhiteBIT,SKY,BTC,5.026e-07,2971088.0,yellow,85789
TokoCrypto,BTC,TUSD,86256.1,0.0020575293886461363,yellow,85811
Gate,XRP,BTC,2.387e-05,20153.67,yellow,85970
TokoCrypto,HBAR,BTC,1.69e-06,231.49704142011834,yellow,86008
Kanga,ETH,BTC,0.032546,0.0,yellow,85907
KuCoin,DOGE,BTC,1.685e-06,0.0,yellow,86042
Bybit EU,BTC,EUR,74566.4,6.65865,yellow,86018
FMFW.io,CRV,BTC,4.486e-06,6248.9,yellow,86075
BitMart,ETH,BTC,0.032549,68.0526,yellow,85981
FMFW.io,ALGO,BTC,1.625e-06,212754.5,yellow,86056
KuCoin,ADA,BTC,4.73e-06,0.0,yellow,86042
WhiteBIT,FIL,BTC,1.857e-05,105412.88,yellow,85829
Kraken,ADA,XBT,4.73e-06,261372.95279534,yellow,85985
One Trading,ETH,BTC,0.03262,2.3258736971183325,yellow,86007
ProBit Global,EXCC,BTC,7.8824e-07,793176.4491,yellow,85897
Gemini,DOGE,BTC,1.681e-06,106660.9625276,yellow,86096
Kanga,BTC,USD,85942.19,0.0,yellow,85942
Bitget,ETC,BTC,0.0001578,293.2321,yellow,85930
Kraken,XLM,XBT,2.824e-06,209966.5780264,yellow,85985
Kraken,ALGO,XBT,1.622e-06,44587.58921126,yellow,85985
Upbit,RESOLV,BTC,1.54e-06,4088548.33645948,yellow,86166
Kinesis Money,BTC,KAG,1720.19424,0.29812053,yellow,86101
WhiteBIT,ATOM,BTC,2.841e-05,36527.82,yellow,85829
NBX,BTC,NOK,878169.09,0.2748421,yellow,85771
KuCoin,BCH,BTC,0.006309,0.0,yellow,86042
CEX.IO,ARB,BTC,2.35e-06,96.213,yellow,85949
TokoCrypto,AXS,BTC,1.261e-05,10.666931007137192,yellow,86008
Deribit Spot,ETH,BTC,0.0325,19.7679,yellow,86174
WhiteBIT,GALA,BTC,8.56e-08,13722958.0,yellow,85829
Binance,QNT,BTC,0.0008901,439.263,yellow,85978
TokoCrypto,TAO,BTC,0.00327,2.3460030581039755,yellow,86035
Bitget,TRX,BTC,3.224e-06,20202.85,yellow,85930
WhiteBIT,ARB,BTC,2.339e-06,535416.1,yellow,85829
TokoCrypto,UNI,BTC,7.15e-05,30.04783216783217,yellow,86008
QMall,AAVE,BTC,0.00198999,145.8561681,yellow,86056
Kanga,BTC,EUR,74548.13,0.0,yellow,85975
Gate,ADA,BTC,4.7224e-06,73369.75,yellow,85970
Gate,FIL,BTC,1.864e-05,9656.623,yellow,85970
Gate,FLOKI,BTC,5.2823e-10,967190396.0,yellow,85970
MEXC,BDX,BTC,9.255e-07,7417394.0,yellow,85934
FMFW.io,INJ,BTC,6.292e-05,0.25,yellow,86056
Luno,XRP,XBT,2.382e-05,6094.0,yellow,86056
Binance,ENA,BTC,2.79e-06,334743.22,yellow,85973
Kraken,FIL,XBT,1.878e-05,713.77761879,yellow,86005
Pionex,BTC,USDC,85967.02,44.52725,yellow,85941
Binance,ZRO,BTC,1.446e-05,9876.4,yellow,85930
CoinEx,STC,BTC,1.1222e-08,4460293.85,yellow,86036
Kanga,BTC,EURC,74661.07,0.0,yellow,85907
WhiteBIT,AR,BTC,4.512e-05,18784.85,yellow,85829
Bybit,LTC,BTC,0.0009698,574.826,yellow,85903
Coinbase Exchange,LTC,BTC,0.000967,132.31141752,yellow,86051
WhiteBIT,PIXEL,BTC,1.515e-07,5357828.0,yellow,85829
Bitfinex,XAUT,BTC,0.04697,4.60466319,yellow,86169
WhiteBIT,SEI,BTC,1.534e-06,735417.2,yellow,86594
Coinbase Exchange,ADA,BTC,4.72e-06,37263.95,yellow,86069
BitMart,TRX,BTC,3.22e-06,468214.0,yellow,86044
Kraken,XBT,DAI,85964.6,0.01946637,yellow,85956
Binance,ATOM,BTC,2.84e-05,20503.0,yellow,86010
FMFW.io,SUSHI,BTC,4.671e-06,27053.8,yellow,86056
WhiteBIT,WIF,BTC,3.92e-06,302839.47,yellow,85829
P2B,BCH,BTC,0.00632,156.648,yellow,85971
FMFW.io,DASH,BTC,0.000653,426.526,yellow,86056
HTX,TRX,BTC,3.2185e-06,75725.12439053695,yellow,85962
Binance,THETA,BTC,4.08e-06,100045.8,yellow,85952
WhiteBIT,NEO,BTC,4.792e-05,9193.42,yellow,85829
P2B,XLM,BTC,2.81e-06,46843.5,yellow,85971
Dex-Trade,LINK,BTC,0.000145,4713.0,yellow,85561
WhiteBIT,GRT,BTC,5.686e-07,604449.0,yellow,85829
Binance,ALGO,BTC,1.62e-06,324080.0,yellow,86004
BitMart,BTC,TUSD,86256.08,1.93298,yellow,85922
Binance,STEEM,BTC,8.3e-07,2648529.0,yellow,85973
Kraken,UNI,XBT,7.18e-05,2285.44609182,yellow,85985
Gemini,LTC,BTC,0.0009632,146.66744,yellow,85994
Bitfinex,ZEC,BTC,0.006214,319.02775654,yellow,86169
TokoCrypto,WLD,BTC,7.01e-06,40.60912981455064,yellow,86035
FMFW.io,SAND,BTC,1.7448e-06,146413.7,yellow,85919
Binance,AR,BTC,4.57e-05,7178.76,yellow,85973
Binance,SKY,BTC,5e-07,6835355.0,yellow,85973
Bitget,BGB,BTC,4.095e-05,6689.5036,yellow,85930
CoinEx,PEPE,BTC,4.9e-11,67786714173.1,yellow,85933
BitMart,BNB,BTC,0.009803,181.08,yellow,85981
Crypto.com Exchange,LTC,BTC,0.0009651,178.099,yellow,85978
MEXC,ANKR,BTC,9.006e-08,4865275.9293,yellow,85921
Crypto.com Exchange,BTC,PYUSD,85942.17,0.246,yellow,85978
Azbit,UNI,BTC,7.15e-05,5088.236,yellow,86093
Nonkyc.io,BELLS,BTC,1.008e-06,1226957.0943,yellow,85903
FMFW.io,AXS,BTC,1.2593e-05,34346.26,yellow,86056
Kraken,ETC,XBT,0.0001577,116.01607929,yellow,86005
Bitget,DOGE,BTC,1.68e-06,82320.8866,yellow,85930
CoinEx,BANANO,BTC,1.2799e-08,1708325.71,yellow,85881
Gate,QTUM,BTC,1.757e-05,22078.483,yellow,85970
KuCoin,BTC,DAI,86137.8,0.0,yellow,86129
WhiteBIT,MANTA,BTC,1.355e-06,379931.8,yellow,85829
Dex-Trade,LTC,BTC,0.000967,455.01,yellow,86042
BitMart,XLM,BTC,2.8199e-06,592429.02,yellow,86044
BitMart,ZRX,BTC,1.7802e-06,888198.8,yellow,86044
Upbit,XRP,BTC,2.375e-05,10999.39337383,yellow,86166
